festival_id,festival_name,historical_year,calendar_date,full_date,max_temp_c,min_temp_c,rainfall_mm,total_precipitation_mm,max_windspeed_kmh,lat,long
181,110 Above Festival,2017,08-28,2017-08-28,24.9,14.3,0,0,21.2,52.6579239,-1.4940318
181,110 Above Festival,2005,08-30,2005-08-30,24,13.5,0,0,15.6,52.6579239,-1.4940318
181,110 Above Festival,2024,08-28,2024-08-28,23.2,14,0.8,0.8,21.1,52.6579239,-1.4940318
181,110 Above Festival,2013,08-30,2013-08-30,23.1,15,0,0,21.6,52.6579239,-1.4940318
181,110 Above Festival,2016,08-30,2016-08-30,22.5,11.2,0,0,13.5,52.6579239,-1.4940318
181,110 Above Festival,2002,08-30,2002-08-30,21.7,14.2,0.1,0.1,32.6,52.6579239,-1.4940318
181,110 Above Festival,2005,08-28,2005-08-28,21.5,11.2,0,0,27.1,52.6579239,-1.4940318
181,110 Above Festival,2008,08-30,2008-08-30,21.4,16.6,0.1,0.1,18.9,52.6579239,-1.4940318
181,110 Above Festival,1999,08-29,1999-08-29,21.2,12.3,0,0,19.1,52.6579239,-1.4940318
181,110 Above Festival,2005,08-29,2005-08-29,21.2,13.7,0.1,0.1,26.1,52.6579239,-1.4940318
181,110 Above Festival,2022,08-28,2022-08-28,21.2,11.9,0.2,0.2,11.9,52.6579239,-1.4940318
181,110 Above Festival,2002,08-29,2002-08-29,20.7,13.7,0.6,0.6,18.5,52.6579239,-1.4940318
181,110 Above Festival,2008,08-29,2008-08-29,20.7,16,0.3,0.3,9.9,52.6579239,-1.4940318
181,110 Above Festival,2019,08-30,2019-08-30,20.5,13.7,0,0,30.9,52.6579239,-1.4940318
181,110 Above Festival,1999,08-28,1999-08-28,20.3,10.6,0,0,9.5,52.6579239,-1.4940318
181,110 Above Festival,2001,08-29,2001-08-29,20.3,11,0,0,10.3,52.6579239,-1.4940318
181,110 Above Festival,2002,08-28,2002-08-28,20.3,12.4,0.1,0.1,10.2,52.6579239,-1.4940318
181,110 Above Festival,2016,08-28,2016-08-28,20.3,14.1,1.3,1.3,16.1,52.6579239,-1.4940318
