festival_id,festival_name,historical_year,calendar_date,full_date,max_temp_c,min_temp_c,rainfall_mm,total_precipitation_mm,max_windspeed_kmh,lat,long
165,Towerfest,2015,06-22,2015-06-22,15.7,8.8,1.9,1.9,26.7,53.7291214,-0.9946058
172,Kelburn Garden Party,2010,07-05,2010-07-05,13.8,11.6,0.9,0.9,26.8,55.7713087,-4.8462434
18,Outbreak Fest,2015,06-13,2015-06-13,17.6,14.3,0.1,0.1,22.2,51.5392914,-0.040443
146,Jurassic Dance,2000,08-31,2000-08-31,18.7,11.6,1.3,1.3,26.4,50.6201625,-2.008224
2,Download Festival,1997,06-13,1997-06-13,18.6,11.1,2.4,2.4,20.0,52.8345109,-1.3335463
152,New Forest Folk Festival,2022,07-03,2022-07-03,20.2,10.8,0.1,0.1,17.2,50.9800645,-1.6046335
76,Glastonbudget,2011,05-24,2011-05-24,15.0,7.3,0.0,0.0,32.8,52.8073269,-1.0994767
10,BoomTown Festival,2022,08-09,2022-08-09,27.5,13.5,0.0,0.0,13.2,51.0562621,-1.2356487
84,GuilFest,2014,07-05,2014-07-05,20.5,15.6,3.8,3.8,22.8,51.2415743,-0.5661077
114,A New Day Festival,2003,08-16,2003-08-16,19.6,15.4,1.2,1.2,22.2,51.2989507,0.9609181
57,Cambridge Folk Festival,2014,07-31,2014-07-31,23.4,13.0,0.0,0.0,14.7,52.186331,0.1653915
140,Eden Festival,1996,06-13,1996-06-13,14.4,5.7,0.0,0.0,11.1,55.2223533,-3.462276
178,Blackthorn Festival,2013,06-13,2013-06-13,14.7,10.7,7.9,7.9,29.5,53.4152338,-2.0544833
147,Landed Festival,2010,08-20,2010-08-20,19.7,15.8,9.8,9.8,27.3,52.2545201,-3.4739887
126,Picnic and Pop Festival,2023,07-26,2023-07-26,19.8,9.4,13.7,13.7,23.6,51.2455931,-0.7544625
92,Little Orchard Cider & Music Festival,2012,09-12,2012-09-12,17.3,11.5,0.9,0.9,24.4,50.3107197,-5.1284475
131,HebCelt Fest,2013,07-17,2013-07-17,17.9,15.0,0.2,0.2,27.0,58.2091112,-6.37875
9,Live at Leeds In The Park,2021,05-24,2021-05-24,13.0,5.8,4.5,4.5,19.7,53.7900957,-1.4550566
28,Green Man Festival,1999,08-16,1999-08-16,17.0,8.4,3.5,3.5,22.7,51.8692327,-3.1766854
40,Belladrum Tartan Heart Festival,2021,07-31,2021-07-31,15.3,10.0,0.5,0.5,10.0,57.4465482,-4.4618068
185,Sonic Rock Solstice,2000,06-22,2000-06-22,16.1,11.6,5.8,5.8,29.5,52.2950661,-2.0818988
171,Priddy Folk Festival,2002,07-13,2002-07-13,17.1,8.4,0.4,0.4,13.8,51.2556961,-2.6784243
35,Neighbourhood Weekender,2024,05-26,2024-05-26,16.8,10.2,10.4,10.4,15.6,53.3408793,-2.594305
187,Cursus Cider & Music Festival,2022,05-24,2022-05-24,15.8,8.2,0.1,0.1,20.3,50.9311764,-2.0455484
32,Uptown Festival - Blackheath,1997,07-27,1997-07-27,22.7,15.4,0.0,0.0,20.4,51.473782,0.0150945
53,Slam Dunk Festival - North,2000,05-25,2000-05-25,11.9,4.1,5.2,5.2,23.8,53.7843825,-1.4597441
15,Kendal Calling,2001,08-02,2001-08-02,19.0,11.3,2.5,2.5,10.8,54.6034837,-2.7134798
175,Supernormal Festival,2011,08-03,2011-08-03,25.5,15.5,0.0,0.0,16.7,51.5544954,-1.0848177
163,"The Mostly Jazz, Funk & Soul Festival",2015,07-13,2015-07-13,18.8,13.5,2.9,2.9,25.3,52.4471017,-1.8883955
118,The Electric Frog and Pressure Riverside Festival,1997,06-01,1997-06-01,17.3,8.6,0.0,0.0,20.4,55.864721,-4.3074304
30,Y Not Festival,2008,08-02,2008-08-02,18.8,12.4,0.9,0.9,20.7,53.1294795,-1.7153269
100,Timber Festival,2005,07-05,2005-07-05,14.9,9.3,5.7,5.7,27.7,52.7472876,-1.5396929
39,The Big Feastival,2011,08-22,2011-08-22,20.1,10.6,0.0,0.0,13.4,51.9005376,-1.6198633
80,Wide Awake,2017,05-24,2017-05-24,22.8,12.0,0.0,0.0,11.0,51.4463864,-0.1060472
186,Napton Music Festival,2022,07-05,2022-07-05,20.1,9.5,0.3,0.3,20.6,52.2637369,-1.3269853
102,Henley Festival,2005,07-12,2005-07-12,23.9,14.2,0.0,0.0,12.7,51.5363149,-0.9024049
184,Whitwell Festival of Music,2004,09-06,2004-09-06,19.9,14.0,0.1,0.1,22.7,53.2843095,-1.2063495
122,Ealing Blues Festival,2018,07-26,2018-07-26,32.4,17.7,7.8,7.8,17.7,51.5081882,-0.3074671
107,Beat-Herder,1999,07-20,1999-07-20,16.6,12.8,8.8,8.8,30.7,53.9201339,-2.3085218
