festival_name,mean_max_temp,mean_min_temp,overall_max_temp,overall_min_temp,temp_std_dev,total_rain_days,total_days,pct_rain_days,avg_daily_rainfall,max_daily_rainfall,mean_max_wind,overall_max_wind,wind_std_dev,temp_z,rain_z,wind_z,weather_score
110 Above Festival,18.26,11.21,24.9,7.5,2.28,4,90,4.44,1.09,13.9,20.31,35.2,6.61,-0.29,-1.75,0.22,1.25
2000trees Festival,19.76,11.99,27.4,6.9,3.06,19,120,15.83,2.17,21.2,19.27,37.5,6.06,0.42,-0.09,-0.36,0.87
A New Day Festival,21.39,14.58,27.7,10.1,2.45,11,90,12.22,1.54,14.7,19.68,35.8,6.49,1.19,-1.05,-0.13,2.37
AVA Festival,15.66,9.21,20.7,5,2.6,10,60,16.67,1.72,10.5,17.69,39.2,6.74,-1.51,-0.77,-1.25,0.52
Accelerate Festival,14.28,8.72,18.5,4.6,2.37,7,30,23.33,2.54,23.4,21.81,35.9,7.68,-2.15,0.48,1.06,-3.69
Africa Oye Festival,17.37,11.27,26.7,6.9,2.79,12,60,20,2.45,22.1,24.25,51.8,8.4,-0.7,0.33,2.43,-3.47
Alfold Rock & Blues Festival,20.16,12.67,28.6,8.4,2.68,19,120,15.83,2.42,41.4,20.65,39,7.27,0.61,0.3,0.41,-0.11
Alsager Music Festival,19.05,11.52,25.6,5.4,2.98,6,60,10,1.99,20,18.55,31.1,5.09,0.09,-0.37,-0.76,1.22
Also Festival,20.14,12.07,28.6,6.9,2.97,10,90,11.11,1.84,14.9,18.65,35.7,5.79,0.6,-0.6,-0.71,1.9
ArcTanGent Festival,18.95,12.07,30.4,7.2,2.62,22,120,18.33,2.65,26.2,19.3,36.1,6.07,0.04,0.65,-0.35,-0.26
BAAFest,16.79,10.57,23.4,4.1,2.87,20,120,16.67,2.57,43.1,20.56,39.2,7.65,-0.97,0.53,0.36,-1.86
Back 2 Festival,20.94,12.68,29.1,8.3,3.07,22,120,18.33,3.33,52.5,19.86,45.4,7.14,0.97,1.7,-0.03,-0.7
Balter Festival,16.91,8.9,25.8,3.4,3.42,20,120,16.67,2.15,24.5,20.41,42.2,8,-0.92,-0.13,0.28,-1.07
Bearded Theory,16.36,8.27,25.2,2.2,3.01,25,150,16.67,2.07,37.4,20.88,43.8,7.49,-1.17,-0.25,0.54,-1.47
Beardy Folk Festival,17.26,9.56,25.6,3.1,2.92,28,120,23.33,2.9,20.4,17.66,38.2,6.3,-0.76,1.04,-1.26,-0.53
Beat-Herder,19.07,11.66,33.3,5.7,3.78,31,120,25.83,3.39,26.5,19.42,34.6,6.93,0.09,1.8,-0.28,-1.42
Beautiful Days,20.17,13.06,27.6,8,2.31,12,90,13.33,2.08,16.3,19.73,40.5,6.5,0.61,-0.23,-0.11,0.95
Beermageddon,20.26,12.72,29.2,6.2,2.61,18,120,15,1.89,20.6,19.28,40.1,6.27,0.65,-0.52,-0.36,1.53
Belladrum Tartan Heart Festival,18.08,11.5,27.7,6.4,3,22,120,18.33,2.62,18.5,17.74,32.4,5.61,-0.37,0.6,-1.22,0.25
Big Love Festival,21.22,12.96,33.5,7.9,3.82,16,120,13.33,2.19,40.8,18.44,30.3,6.03,1.1,-0.06,-0.82,1.99
Blackthorn Festival,17.04,9.68,26.2,5.1,2.9,26,90,28.89,3.74,28.6,18.1,39.2,6.8,-0.86,2.33,-1.01,-2.17
Bloodstock,21.07,12.84,30.9,8.5,3.31,15,120,12.5,1.95,17,18.72,40.3,6.6,1.03,-0.43,-0.67,2.14
