ID,Title,startDate,endDate,lat,long
1,Glastonbury Festival,25/06/2025,29/06/2025,51.1641036,-2.5937432
2,Download Festival,11/06/2025,15/06/2025,52.8345109,-1.3335463
3,Isle of Wight Festival,19/06/2025,22/06/2025,50.70698,-1.2904592
4,Reading Festival,20/08/2025,24/08/2025,51.4636704,-0.9854659
5,Creamfields,21/08/2025,24/08/2025,53.3408793,-2.594305
6,Leeds Festival,20/08/2025,24/08/2025,53.8699491,-1.3796684
7,Parklife Weekender,08/06/2025,09/06/2025,53.5364251,-2.2553098
8,Parklife Festival,14/06/2025,15/06/2025,53.5364251,-2.2553098
9,Live at Leeds In The Park,24/05/2025,24/05/2025,53.7900957,-1.4550566
10,BoomTown Festival,06/08/2025,10/08/2025,51.0562621,-1.2356487
11,Victorious Festival,22/08/2025,24/08/2025,50.7780884,-1.0887826
12,Boardmasters,06/08/2025,10/08/2025,50.4358249,-5.0368039
13,TRNSMT Festival,11/07/2025,13/07/2025,55.8531221,-4.2391582
14,Wireless Festival,11/07/2025,13/07/2025,51.5646377,-0.1058555
15,Kendal Calling,31/07/2025,03/08/2025,54.6034837,-2.7134798
16,Rewind South,15/08/2025,17/08/2025,51.54997,-0.8915048
17,Lido Festival - Jamie XX,07/06/2025,07/06/2025,51.5392914,-0.040443
18,Outbreak Fest,13/06/2025,13/06/2025,51.5392914,-0.040443
19,Lido Festival - Charli xcx,14/06/2025,14/06/2025,51.5392914,-0.040443
20,Lido Festival - London Grammar,15/06/2025,15/06/2025,51.5392914,-0.040443
21,Coventry Godiva Festival,04/07/2025,06/07/2025,52.3955807,-1.5207089
22,Tramlines,25/07/2025,27/07/2025,53.4070774,-1.4985868
23,Carfest,22/08/2025,24/08/2025,51.2183233,-1.2581106
24,Latitude,24/07/2025,27/07/2025,52.3485689,1.595545
25,Wilderness,01/08/2024,04/08/2024,51.8614031,-1.4921117
26,Rewind Scotland,18/07/2025,20/07/2025,56.4226528,-3.4380136
27,The Brit Fest,04/07/2025,06/07/2025,53.3604114,-2.3480778
28,Green Man Festival,14/08/2025,17/08/2025,51.8692327,-3.1766854
29,Back 2 Festival,07/08/2025,10/08/2025,53.2336322,-1.0452127
30,Y Not Festival,31/07/2025,03/08/2025,53.1294795,-1.7153269
