Title,Music Genre,startDate,endDate,duration,Camping,Venue,streetAddress,addressLocality,county,region,postalCode,Country,Capacity,lat,long
110 Above Festival,Rock/Metal,28/08/2025,30/08/2025,3,Yes,Gopsall Hall Farm,,Atherstone,Leicestershire,East Midlands,CV9 3QJ,England,"1,000",52.6579239,-1.4940318
2000trees Festival,Rock/Alternative,09/07/2025,12/07/2025,4,Yes,Upcote Farm,Withington,Cheltenham,Gloucestershire,South West,GL54 4BL,England,"10,000",51.8428125,-1.9696655
A New Day Festival,Proggressive Rock/Blues/Roots,15/08/2025,17/08/2025,3,Yes,Mt Ephraim Gardens,Hernhill,Faversham,Kent,South East,ME13 9TX,England,"5,000",51.2989507,0.9609181
Accelerate Festival,Electronic/Dance,27/09/2025,27/09/2025,1,No,Gateshead International Stadium,Neilson Road,Gateshead,Tyne and Wear,North East England,NE17 0EF,England,"11,800",54.914521,-1.822099
Africa Oye Festival,World,21/06/2025,22/06/2025,2,No,Sefton Park,,Liverpool,Lancashire,North West,L17 1AP,England,"20,000",53.3834528,-2.9391567
Alfold Rock & Blues Festival,Rock/Blues,03/07/2025,06/07/2025,4,Yes,Springbok Estate,,Alfold,Surrey,South East,GU6 8EX,England,"1,000",51.1033295,-0.5290784
Alsager Music Festival,Mixed/General,12/07/2025,13/07/2025,2,No,Milton Park,,Alsager,Cheshire,North West,ST7 2ES,England,"5,000",53.0958423,-2.3055734
Also Festival,Mixed/General,11/07/2025,13/07/2025,3,Yes,Park Farm,,Compton Verny,Warwickshire,West Midlands,CV35 9HJ,England,500,52.1732623,-1.5495806
ArcTanGent Festival,Rock/Alternative,13/08/2025,16/08/2025,4,Yes,Fernhill Farm,Cheddar Road,Compton Martin,Somerset,South West,BS40 6LD,England,"5,000",51.2940784,-2.6776842
AVA Festival,Electronic/Dance,30/05/2025,31/05/2025,2,No,Titanic Slipways,,Belfast,Belfast,Northern Ireland,BT3 9EQ,Northern Ireland,"12,000",54.6101795,-5.9106689
BAAFest,Folk/Acoustic,04/09/2025,07/09/2025,4,Yes,Brownrigg Lodges,,Bellingham,Northumberland,North East,NE48 2HR,England,300,55.1380062,-2.2608083
Back 2 Festival,Retro/Nostalgia,07/08/2025,10/08/2025,4,Yes,Thoresby Park,Netherfield Lane,Newark,Nottinghamshire,East Midlands,NG22 9WH,England,"25,000",53.2336322,-1.0452127
Balter Festival,Electronic/Dance,22/05/2025,25/05/2025,4,No,Chepstow Racecourse,,Chepstow,Monmouthshire,South East Wales,NP16 6BE,Wales,"2,500",51.6442552,-2.6900223
Bearded Theory,Mixed/General,21/05/2025,25/05/2025,5,Yes,Catton Park,,Walton upon Trent,Derbyshire,East Midlands,DE12 8LN,England,"9,999",52.7352306,-1.6953249
Beardy Folk Festival,Folk/Acoustic,12/06/2025,15/06/2025,4,Yes,Hopton Court,Hopton Waters,Cleobury Mortimer,Shropshire,West Midlands,DY14 0EF,England,"5,000",52.3857167,-2.5291132
Beat-Herder,Electronic/Dance,17/07/2025,20/07/2025,4,Yes,Ribble Valley,Sawley,Gisburn,Lancashire,North West,BB7 4LH,England,"5,000",53.9201339,-2.3085218
Beautiful Days,Mixed/General,15/08/2025,17/08/2025,3,Yes,Escot Park,,near Fairmile,Devon,South West,EX11 1LU,England,"17,000",50.7772552,-3.2987464
Beermageddon,Rock/Metal,21/08/2025,24/08/2025,4,Yes,Stoke Prior Country Club,,Bromsgrove,Worcestershire,West Midlands,B60 4AL,England,250,52.2950661,-2.0818988
Belladrum Tartan Heart Festival,Mixed/General,31/07/2025,03/08/2025,4,Yes,Belladrum Estate,,Beauly,Inverness-shire,Highlands,IV4 7BA,Scotland,"20,000",57.4465482,-4.4618068
Big Love Festival,Mixed/General,17/07/2025,20/07/2025,4,Yes,Gwehelog,,Usk,Monmouthshire,South East Wales,NP15 1HS,Wales,"2,000",51.7309011,-2.8982279
Blackthorn Festival,Mixed/General,13/06/2025,15/06/2025,3,Yes,Whitebottom Farm,Etherow Country Park,Stockport,Cheshire,North West,SK6 5HZ,England,"1,000",53.4152338,-2.0544833
Bloodstock,Rock/Metal,07/08/2025,10/08/2025,4,Yes,Catton Hall,,Walton-on-Trent,Derbyshire,East Midlands,DE12 8LN,England,"15,000",52.7352306,-1.6953249
Boardmasters,Mixed/General,06/08/2025,10/08/2025,5,Yes,Watergate Bay,,Newquay,Cornwall,South West,TR8 4AN,England,"50,000",50.4358249,-5.0368039
BoomTown Festival,Mixed/General,06/08/2025,10/08/2025,5,Yes,Matterley Estate,,near Winchester,Hampshire,South East,SO21 1HW,England,"66,000",51.0562621,-1.2356487
Boundary Brighton,Mixed/General,27/09/2025,27/09/2025,1,No,Stanmer Park,,Brighton,Sussex,South East,BN1 9QA,England,"20,000",50.8692967,-0.1021295
Bromsgrove Folk Festival,Folk/Acoustic,17/07/2025,20/07/2025,4,Yes,Various Venues,,Bromsgrove,Worcestershire,West Midlands,B60 4BH,England,400,52.2887008,-2.0942311
Bures Music Festival,Mixed/General,09/07/2025,13/07/2025,5,Yes,Various Venues,,Bures,Suffolk,East of England,CO8 5DB,England,"1,500",51.971855,0.7794841
Call of the Wild Festival,Rock/Alternative,29/05/2025,01/06/2025,4,Yes,Lincolnshire Showground,Grange-de-Lings,Lincoln,Lincolnshire,East Midlands,LN2 2NA,England,"1,000",53.2864144,-0.5439435
Cambridge Folk Festival,Folk/Acoustic,31/07/2025,03/08/2025,4,Yes,Cherry Hinton Hall Grounds,,Cambridge,Cambridgeshire,East of England,CB1 8DW,England,"14,000",52.186331,0.1653915
Cambridge Rock Festival,Rock/Alternative,31/07/2025,03/08/2025,4,Yes,Harlocks Farm,Stuntney Estate,Ely,Cambridgeshire,East of England,CB7 5TR,England,"2,500",52.3735568,0.2924925
Camp Bestival Dorset,Mixed/General,31/07/2025,03/08/2025,4,Yes,Lulworth Castle,,Lulworth,Dorset,South West,BH20 5QS,England,"10,000",50.639095,-2.2087692
Carfest,Mixed/General,22/08/2025,24/08/2025,3,Yes,Laverstoke Park Farm,,Overton,Hampshire,South East,RG25 3DR,England,"35,000",51.2183233,-1.2581106
Chalfest,Mixed/General,18/07/2025,19/07/2025,2,No,France Lynch Pleasure Grounds,Chalford Hill,Stroud,Gloucestershire,South West,GL6 8LZ,England,"7,500",51.7307526,-2.1427722
Charlbury Riverside Festival,Mixed/General,19/07/2025,20/07/2025,2,No,The Mill Field,Dyers Hill,Charlbury,Oxfordshire,South East,OX7 3QG,England,"5,000",51.8738143,-1.4866702
Cheshire Fest,Mixed/General,02/09/2025,02/09/2025,1,No,Capesthorne Hall,Congleton Road,Siddington Macclesfield,Cheshire,North West,SK11 9JY,England,"10,000",53.2518076,-2.2396723
Chester Folk Festival,Folk/Acoustic,23/05/2025,26/05/2025,4,Yes,The Village Of Kelsall,,Chester,Cheshire,North West,CW6 0RS,England,300,53.2080601,-2.7175492
Chilfest,Folk/Acoustic,04/07/2025,05/07/2025,2,No,Pendley Activity Meadow,Cow Lane,Tring,Hertfordshire,East of England,HP23 5NS,England,"7,000",51.7973077,-0.6436632
City Splash Festival,Reggae,26/05/2025,26/05/2025,1,No,Brockwell Park,,Brixton,,London,SE24 0NG,England,"25,000",51.4527759,-0.1029906
Colour Clash,Electronic/Dance,02/08/2025,02/08/2025,1,No,Tredegar Park,Cardiff Road,Newport,Monmouthshire,South East Wales,NP20 3AJ,Wales,"10,000",51.5689763,-3.0188004
Coventry Godiva Festival,Mixed/General,04/07/2025,06/07/2025,3,No,War Memorial Park,,Coventry,Coventry,West Midlands,CV3 6PT,England,"40,000",52.3955807,-1.5207089
Creamfields,Electronic/Dance,21/08/2025,24/08/2025,4,Yes,Daresbury Estate,,Halton,Cheshire,North West,WA4 4AR,England,"80,000",53.3408793,-2.594305
Crookfest,Tribute Acts,04/05/2025,04/05/2025,1,No,Crook Town Football Club,,Crook,Durham,North East,DL15 9PW,England,"2,000",54.713318,-1.7516927
